site_domain,imps,clicks,click_thru_pct,convs_rate,booked_revenue,post_view_convs,post_click_convs,media_cost,profit_ecpm
---,39323,18,0.045774737431020014%,0.000254304096839000,349.000000,10,0,46.753274,7.686258067797472217277000
0.45110884912461147,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.000800,-0.800000000000000000000000
01-atf-meteofrance.fr,6,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.008893,-1.482166666666666666667000
01-edito-atf-laplacemedia-1.fr,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.007424,-1.856000000000000000000000
01-edito-atf-laplacemedia-3.fr,17,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.023366,-1.374470588235294117647000
01-edito-atf-laplacemedia-4.fr,15,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.025099,-1.673266666666666666667000
01-edito-atf-laplacemedia-5.fr,33,0,0.000000000000000000%,0.030303030303030303,35.000000,1,0,0.043301,1059.293909090909090909091000
01-edito-atf-laplacemedia-6.fr,24,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.028316,-1.179833333333333333333000
01-edito-atf-laplacemedia-7.fr,12,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.012576,-1.048000000000000000000000
02-services-atf-laplacemedia-2.fr,5,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.005627,-1.125400000000000000000000
02-services-atf-laplacemedia-6.fr,2,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.002663,-1.331500000000000000000000
03-atf-meteofrance.fr,7,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.009421,-1.345857142857142857143000
03-instantane-atf-theplacetobid.fr,4,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.004539,-1.134750000000000000000000
03-social-atf-laplacemedia-1.fr,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001665,-1.665000000000000000000000
03-social-atf-laplacemedia-2.fr,1,0,0.000000000000000000%,0.000000000000000000,0.000000,0,0,0.001123,-1.123000000000000000000000
